project,attempted_methods,success,compile_fail,assertion_fail,runtime_fail,validity_fail,timeout,patch_fail,llm_fail,unknown,status
1_tullibee,345,305,4,0,0,0,5,0,0,31,ok
2_a4j,394,354,6,0,0,0,15,0,0,19,ok
3_gaj,32,13,0,0,0,0,1,0,0,18,ok
4_rif,33,33,0,0,0,0,0,0,0,0,ok
5_templateit,125,78,6,0,0,0,23,0,0,18,ok
6_jnfe,118,85,15,0,6,0,8,0,0,4,ok
7_sfmis,135,79,0,0,3,0,0,0,0,53,ok
8_gfarcegestionfa,133,110,6,0,0,0,9,0,0,8,ok
9_falselight,8,8,0,0,0,0,0,0,0,0,ok
10_water-simulator,184,15,0,0,0,0,1,0,0,168,ok
11_imsmart,25,21,2,0,0,0,2,0,0,0,ok
12_dsachat,130,110,0,0,0,0,5,0,0,15,ok
13_jdbacl,956,343,21,1,397,0,141,0,0,53,ok
14_omjstate,38,34,0,0,0,0,1,0,0,3,ok
15_beanbin,81,55,2,0,0,0,9,0,0,15,ok
16_templatedetails,15,6,5,0,0,0,0,0,0,4,ok
17_inspirento,160,133,5,0,1,0,15,0,0,6,ok
18_jsecurity,989,178,704,0,0,0,19,0,0,88,ok
19_jmca,422,287,11,0,0,0,25,0,0,99,ok
20_nekomud,14,10,1,0,0,0,2,0,0,1,ok
21_geo-google,933,293,613,0,0,0,2,0,0,25,ok
22_byuic,338,278,10,0,0,0,15,1,0,34,ok
23_jwbf,26,23,0,0,3,0,0,0,0,0,ok
24_saxpath,164,143,1,3,2,0,0,0,0,15,ok
25_jni-inchi,192,157,2,26,0,0,1,0,0,6,ok
26_jipa,27,27,0,0,0,0,0,0,0,0,ok
27_gangup,399,307,19,5,9,0,41,0,0,18,ok
28_greencow,1,1,0,0,0,0,0,0,0,0,ok
29_apbsmem,283,226,6,27,6,0,1,0,0,17,ok
30_bpmail,122,107,4,1,0,0,0,0,0,10,ok
31_xisemele,167,104,3,7,0,0,1,0,0,52,ok
32_httpanalyzer,29,21,4,0,0,0,4,0,0,0,ok
33_javaviewcontrol,156,123,0,2,4,0,2,0,0,25,ok
34_sbmlreader2,14,1,0,3,7,0,3,0,0,0,ok
35_corina,1205,156,896,0,12,0,23,0,0,118,ok
36_schemaspy,428,257,13,0,0,0,110,0,0,48,ok
37_petsoar,261,77,164,0,0,0,12,0,0,8,ok
38_javabullboard,252,142,42,13,13,0,29,0,0,13,ok
39_diffi,46,41,0,0,0,0,1,0,0,4,ok
40_glengineer,270,209,0,5,8,0,0,1,0,47,ok
41_follow,181,112,10,26,2,0,0,0,0,31,ok
42_asphodel,52,21,0,1,0,0,0,0,0,30,ok
45_lotus,50,9,3,0,0,0,1,0,0,37,ok
46_nutzenportfolio,587,66,494,0,0,0,1,0,0,26,ok
47_dvd-homevideo,19,17,1,0,0,0,1,0,0,0,ok
48_resources4j,20,17,2,0,0,0,0,0,0,1,ok
49_diebierse,116,96,0,0,0,0,18,0,0,2,ok
50_biff,33,22,0,0,0,0,11,0,0,0,ok
51_jiprof,848,596,88,0,0,0,44,1,0,119,ok
52_lagoon,404,267,39,0,1,0,20,0,0,77,ok
53_shp2kml,10,10,0,0,0,0,0,0,0,0,ok
54_db-everywhere,799,167,531,0,0,0,3,0,1,97,ok
55_lavalamp,134,105,15,0,0,0,6,0,0,8,ok
56_jhandballmoves,433,313,33,0,0,0,49,0,0,38,ok
57_hft-bomberman,433,271,24,0,6,0,70,0,0,62,ok
58_fps370,39,36,1,0,0,0,0,0,0,2,ok
59_mygrid,314,212,0,0,0,0,0,0,0,102,ok
60_sugar,174,135,3,0,0,0,10,0,0,26,ok
61_noen,1212,19,59,0,0,0,0,0,0,1134,ok
63_objectexplorer,343,34,237,0,0,0,1,0,0,71,ok
65_gsftp,58,47,1,0,0,0,3,0,1,6,ok
67_gae-app-manager,25,23,0,0,0,0,2,0,0,0,ok
68_biblestudy,178,151,17,0,0,0,5,0,0,5,ok
69_lhamacaw,800,386,16,1,163,0,30,0,1,203,ok
70_echodep,211,179,1,0,0,0,21,0,0,10,ok
71_ext4j,174,132,4,0,17,0,6,0,0,15,ok
72_battlecry,87,70,1,0,0,0,7,0,0,9,ok
73_fim1,226,204,1,0,1,0,17,0,0,3,ok
74_fixsuite,134,123,0,0,0,0,7,0,0,4,ok
75_openhre,763,592,12,0,1,0,105,2,0,51,ok
76_dash-framework,17,14,0,0,0,0,2,0,0,1,ok
77_io-project,55,10,0,0,28,0,3,0,0,14,ok
79_twfbplayer,477,227,178,0,0,0,40,0,0,32,ok
81_javathena,848,717,50,0,0,0,65,3,0,13,ok
82_ipcalculator,15,9,0,0,0,0,0,0,0,6,ok
83_xbus,562,365,109,0,0,0,49,0,0,39,ok
85_shop,287,232,3,0,13,0,15,0,0,24,ok
86_at-robots2-j,733,285,37,0,0,0,19,0,0,392,ok
87_jaw-br,115,98,1,0,0,0,15,0,0,1,ok
88_jopenchart,284,205,18,0,0,0,52,0,0,9,ok
89_jiggler,925,736,40,0,0,0,68,2,0,79,ok
90_dcparseargs,37,34,0,0,0,0,3,0,0,0,ok
91_classviewer,65,55,0,0,0,0,5,0,0,5,ok
92_jcvi-javacommon,2407,432,1696,0,0,0,5,2,0,272,ok
93_quickserver,1068,860,44,0,0,0,113,0,0,51,ok
94_jclo,15,14,1,0,0,0,0,0,0,0,ok
95_celwars2009,40,35,1,0,0,0,2,0,0,2,ok
96_heal,1369,1193,54,0,0,0,59,2,0,61,ok
97_feudalismgame,165,98,0,0,48,0,16,0,0,3,ok
98_trans-locator,19,16,0,0,0,0,3,0,0,0,ok
99_newzgrabber,176,143,8,0,0,0,13,0,0,12,ok
100_jgaap,57,42,5,0,0,0,1,0,0,9,ok
101_netweaver,2000,1841,6,0,20,0,30,0,0,103,ok
106_checkstyle,477,142,15,4,246,0,37,0,0,33,ok
