project,before_score_all,after_score_all,delta_score_all,before_score_killed_survived,after_score_killed_survived,delta_score_killed_survived,before_total,after_total,status
100_jgaap,0.0,0.0,0.0,0.0,0.0,0.0,283.0,283.0,ok
106_checkstyle,0.0,0.0,0.0,0.0,0.0,0.0,8947.0,8961.0,ok
10_water-simulator,0.0,0.0,0.0,0.0,0.0,0.0,3501.0,3528.0,ok
11_imsmart,0.0,0.0,0.0,0.0,0.0,0.0,556.0,554.0,ok
12_dsachat,0.0,0.0,0.0,0.0,0.0,0.0,2148.0,2108.0,ok
14_omjstate,0.0,0.0,0.0,0.0,0.0,0.0,463.0,490.0,ok
15_beanbin,0.0,0.0,0.0,0.0,0.0,0.0,1659.0,1659.0,ok
16_templatedetails,0.0,0.0,0.0,0.0,0.0,0.0,200.0,197.0,ok
17_inspirento,0.0,0.0,0.0,0.0,0.0,0.0,1914.0,2002.0,ok
18_jsecurity,0.0,0.0,0.0,0.0,0.0,0.0,6964.0,5447.0,ok
1_tullibee,0.0,0.0,0.0,0.0,0.0,0.0,2874.0,2574.0,ok
20_nekomud,0.0,0.0,0.0,0.0,0.0,0.0,279.0,282.0,ok
21_geo-google,0.0,0.0,0.0,0.0,0.0,0.0,3893.0,1581.0,ok
22_byuic,0.0,0.0,0.0,0.0,0.0,0.0,2929.0,2849.0,ok
23_jwbf,0.0,0.0,0.0,0.0,0.0,0.0,1412.0,1411.0,ok
24_saxpath,0.0,0.0,0.0,0.0,0.0,0.0,1294.0,1214.0,ok
25_jni-inchi,0.0,0.0,0.0,0.0,0.0,0.0,1190.0,1143.0,ok
26_jipa,0.0,0.0,0.0,0.0,0.0,0.0,309.0,284.0,ok
27_gangup,0.0,0.0,0.0,0.0,0.0,0.0,7068.0,6914.0,ok
28_greencow,0.0,0.0,0.0,0.0,0.0,0.0,27.0,28.0,ok
29_apbsmem,0.0,0.0,0.0,0.0,0.0,0.0,3933.0,4020.0,ok
2_a4j,0.0,0.0,0.0,0.0,0.0,0.0,2659.0,2838.0,ok
30_bpmail,0.0,0.0,0.0,0.0,0.0,0.0,1375.0,1402.0,ok
31_xisemele,0.0,0.0,0.0,0.0,0.0,0.0,1522.0,1512.0,ok
32_httpanalyzer,0.0,0.0,0.0,0.0,0.0,0.0,1865.0,1876.0,ok
33_javaviewcontrol,0.0,0.0,0.0,0.0,0.0,0.0,2796.0,2786.0,ok
34_sbmlreader2,0.0,0.0,0.0,0.0,0.0,0.0,291.0,292.0,ok
38_javabullboard,0.00025497195308516065,0.0,-0.00025497195308516065,0.0005285412262156448,0.0,-0.0005285412262156448,3922.0,3565.0,ok
39_diffi,0.0,0.0,0.0,0.0,0.0,0.0,598.0,575.0,ok
3_gaj,0.0,0.0,0.0,0.0,0.0,0.0,369.0,367.0,ok
40_glengineer,0.0,0.0,0.0,0.0,0.0,0.0,2389.0,1999.0,ok
41_follow,0.0,0.0,0.0,0.0,0.0,0.0,2067.0,2047.0,ok
42_asphodel,0.0,0.0,0.0,0.0,0.0,0.0,611.0,617.0,ok
45_lotus,0.0,0.002871500358937545,0.002871500358937545,0.0,0.003003003003003003,0.003003003003003003,1406.0,1393.0,ok
46_nutzenportfolio,0.0,0.0,0.0,0.0,0.0,0.0,4888.0,2679.0,ok
47_dvd-homevideo,0.0,0.0,0.0,0.0,0.0,0.0,1321.0,1321.0,ok
48_resources4j,0.0,0.0,0.0,0.0,0.0,0.0,400.0,408.0,ok
49_diebierse,0.0,0.0,0.0,0.0,0.0,0.0,1565.0,1260.0,ok
4_rif,0.0,0.0,0.0,0.0,0.0,0.0,613.0,623.0,ok
50_biff,0.0,0.0,0.0,0.0,0.0,0.0,868.0,868.0,ok
53_shp2kml,0.0,0.0,0.0,0.0,0.0,0.0,187.0,196.0,ok
54_db-everywhere,0.0,0.0,0.0,0.0,0.0,0.0,6374.0,6216.0,ok
55_lavalamp,0.0,0.0,0.0,0.0,0.0,0.0,1739.0,1765.0,ok
56_jhandballmoves,0.0,0.00041631973355537054,0.00041631973355537054,0.0,0.0004791566842357451,0.0004791566842357451,4730.0,4804.0,ok
58_fps370,0.0,0.0,0.0,0.0,0.0,0.0,995.0,949.0,ok
59_mygrid,0.0,0.0,0.0,0.0,0.0,0.0,2529.0,2835.0,ok
60_sugar,0.0,0.0,0.0,0.0,0.0,0.0,1786.0,1871.0,ok
61_noen,0.0,0.0,0.0,0.0,0.0,0.0,15768.0,4796.0,ok
63_objectexplorer,0.0,0.0040650406504065045,0.0040650406504065045,0.0,0.005930807248764415,0.005930807248764415,4876.0,4428.0,ok
65_gsftp,0.0,0.0,0.0,0.0,0.0,0.0,1398.0,1362.0,ok
67_gae-app-manager,0.0,0.0,0.0,0.0,0.0,0.0,270.0,283.0,ok
68_biblestudy,0.0,0.0,0.0,0.0,0.0,0.0,1742.0,1641.0,ok
69_lhamacaw,0.0,0.0,0.0,0.0,0.0,0.0,8703.0,8871.0,ok
6_jnfe,0.0,0.0,0.0,0.0,0.0,0.0,1655.0,1730.0,ok
71_ext4j,0.0,0.0,0.0,0.0,0.0,0.0,2044.0,2072.0,ok
72_battlecry,0.0,0.0,0.0,0.0,0.0,0.0,1876.0,1851.0,ok
73_fim1,0.0,0.0,0.0,0.0,0.0,0.0,5846.0,5984.0,ok
74_fixsuite,0.0,0.0,0.0,0.0,0.0,0.0,1620.0,1715.0,ok
75_openhre,0.0,0.00645819170632223,0.00645819170632223,0.0,0.008138787748982652,0.008138787748982652,5854.0,5884.0,ok
76_dash-framework,0.0,0.0,0.0,0.0,0.0,0.0,402.0,408.0,ok
77_io-project,0.0,0.0,0.0,0.0,0.0,0.0,588.0,579.0,ok
79_twfbplayer,0.0,0.0,0.0,0.0,0.0,0.0,5032.0,4306.0,ok
7_sfmis,0.0,0.0,0.0,0.0,0.0,0.0,1131.0,1120.0,ok
81_javathena,0.0,0.0,0.0,0.0,0.0,0.0,4860.0,2753.0,ok
82_ipcalculator,0.0,0.0,0.0,0.0,0.0,0.0,1437.0,1435.0,ok
83_xbus,0.0,0.0,0.0,0.0,0.0,0.0,10294.0,6310.0,ok
85_shop,0.0,0.0,0.0,0.0,0.0,0.0,3085.0,3162.0,ok
86_at-robots2-j,0.0,0.0,0.0,0.0,0.0,0.0,9673.0,9559.0,ok
87_jaw-br,0.0,0.0,0.0,0.0,0.0,0.0,2066.0,2032.0,ok
89_jiggler,0.0001585958976527807,6.991051454138702e-05,-8.868538311139368e-05,0.00020754064337599447,9.659036028204386e-05,-0.00011095028309395061,18916.0,14304.0,ok
8_gfarcegestionfa,0.0,0.0,0.0,0.0,0.0,0.0,2702.0,2704.0,ok
90_dcparseargs,0.0,0.0,0.0,0.0,0.0,0.0,293.0,293.0,ok
91_classviewer,0.0,0.0,0.0,0.0,0.0,0.0,904.0,912.0,ok
92_jcvi-javacommon,0.0005514416259650228,0.0,-0.0005514416259650228,0.0006891459512675363,0.0,-0.0006891459512675363,25388.0,18924.0,ok
95_celwars2009,0.0,0.0,0.0,0.0,0.0,0.0,1473.0,1473.0,ok
96_heal,0.0,0.0,0.0,0.0,0.0,0.0,14404.0,14704.0,ok
97_feudalismgame,0.0,0.0,0.0,0.0,0.0,0.0,3183.0,3133.0,ok
98_trans-locator,0.0,0.0,0.0,0.0,0.0,0.0,296.0,279.0,ok
99_newzgrabber,0.0,0.0,0.0,0.0,0.0,0.0,3257.0,3273.0,ok
9_falselight,0.0,0.0,0.0,0.0,0.0,0.0,101.0,101.0,ok
