project,domain,size_bucket,attempted_methods,success_rate,reduction_rate
1_tullibee,util,large,345,0.356522,0.120219
2_a4j,util,large,394,0.248731,0.036635
3_gaj,util,small,32,0.15625,0.067797
4_rif,util,small,33,0.545455,0.172414
5_templateit,util,medium,125,0.36,0.22973
6_jnfe,util,medium,118,0.398305,0.314721
7_sfmis,util,medium,135,0.244444,0.062271
8_gfarcegestionfa,util,medium,133,0.43609,0.28
9_falselight,util,small,8,0.25,-0.25
10_water-simulator,game,medium,184,0.054348,0.264516
11_imsmart,util,small,25,0.2,-0.285714
12_dsachat,util,medium,130,0.261538,0.107623
13_jdbacl,db,large,956,0.175732,0.126429
14_omjstate,util,small,38,0.447368,0.344262
15_beanbin,util,small,81,0.283951,0.171642
16_templatedetails,util,small,15,0.133333,-0.315789
17_inspirento,util,medium,160,0.34375,0.149813
18_jsecurity,util,large,989,0.075834,0.104029
19_jmca,util,large,422,0.308057,0.19896
20_nekomud,util,small,14,0.285714,0.190476
21_geo-google,util,large,933,0.115756,0.035168
22_byuic,ui,large,338,0.136095,0.069959
23_jwbf,util,small,26,0.384615,0.30303
24_saxpath,util,medium,164,0.22561,0.298913
25_jni-inchi,util,medium,192,0.197917,0.075949
26_jipa,util,small,27,0.740741,0.703704
27_gangup,util,large,399,0.250627,0.090523
28_greencow,util,small,1,0.0,-1.0
29_apbsmem,util,medium,283,0.363958,0.161512
30_bpmail,network,medium,122,0.295082,0.075556
31_xisemele,util,medium,167,0.317365,0.231373
32_httpanalyzer,web,small,29,0.275862,0.155556
33_javaviewcontrol,util,medium,156,0.262821,0.051793
34_sbmlreader2,util,small,14,0.0,0.222222
35_corina,util,large,1205,0.046473,0.079335
36_schemaspy,util,large,428,0.231308,0.068376
37_petsoar,util,medium,261,0.1341,0.101732
38_javabullboard,util,medium,252,0.166667,0.068871
39_diffi,util,small,46,0.217391,-0.027778
40_glengineer,util,medium,270,0.240741,0.109694
41_follow,util,medium,181,0.309392,0.15534
42_asphodel,util,small,52,0.076923,0.05102
45_lotus,util,small,50,0.1,0.225352
46_nutzenportfolio,util,large,587,0.051107,0.068045
47_dvd-homevideo,util,small,19,0.736842,0.583333
48_resources4j,util,small,20,0.45,0.25
49_diebierse,util,medium,116,0.267241,0.154762
50_biff,util,small,33,0.181818,0.228571
51_jiprof,util,large,848,0.365566,0.212766
52_lagoon,util,large,404,0.314356,0.199728
53_shp2kml,util,small,10,0.6,0.538462
54_db-everywhere,db,large,799,0.066333,0.048812
55_lavalamp,util,medium,134,0.291045,0.114894
56_jhandballmoves,db,large,433,0.290993,0.13313
57_hft-bomberman,util,large,433,0.378753,0.271991
58_fps370,util,small,39,0.487179,0.271429
59_mygrid,util,large,314,0.273885,0.135266
60_sugar,util,medium,174,0.293103,0.106061
61_noen,util,large,1212,0.004125,0.215013
63_objectexplorer,util,large,343,0.072886,0.090385
65_gsftp,network,small,58,0.206897,0.049505
67_gae-app-manager,util,small,25,0.48,0.098039
68_biblestudy,util,medium,178,0.314607,0.15508
69_lhamacaw,util,large,800,0.1875,0.089045
70_echodep,util,medium,211,0.331754,0.249221
71_ext4j,util,medium,174,0.350575,0.178082
72_battlecry,game,medium,87,0.37931,0.176796
73_fim1,util,medium,226,0.380531,0.112903
74_fixsuite,ui,medium,134,0.246269,-0.026923
75_openhre,util,large,763,0.309305,0.122375
76_dash-framework,ui,small,17,0.176471,0.1
77_io-project,util,small,55,0.109091,0.348315
79_twfbplayer,game,large,477,0.226415,0.155294
81_javathena,util,large,848,0.260613,0.057192
82_ipcalculator,util,small,15,0.0,0.235294
83_xbus,util,large,562,0.238434,0.074332
85_shop,util,medium,287,0.466899,0.331155
86_at-robots2-j,game,large,733,0.188267,0.221557
87_jaw-br,util,medium,115,0.443478,0.183673
88_jopenchart,ui,medium,284,0.235915,0.089184
89_jiggler,util,large,925,0.475676,0.326871
90_dcparseargs,util,small,37,0.540541,0.328125
91_classviewer,ui,small,65,0.353846,0.213115
92_jcvi-javacommon,util,large,2407,0.089738,0.101141
93_quickserver,ui,large,1068,0.347378,0.171524
94_jclo,util,small,15,0.266667,0.0
95_celwars2009,game,small,40,0.3,0.089744
96_heal,util,large,1369,0.425128,0.185443
97_feudalismgame,game,medium,165,0.260606,0.120235
98_trans-locator,util,small,19,0.315789,0.194444
99_newzgrabber,util,medium,176,0.414773,0.176991
100_jgaap,util,small,57,0.578947,0.453608
101_netweaver,network,large,2000,0.352,0.164078
106_checkstyle,util,large,477,0.155136,0.137485
