project,count_before_total,count_after_total,delta_total,reduction_rate,status
1_tullibee,549,483,-66,0.120219,ok
2_a4j,737,710,-27,0.036635,ok
3_gaj,59,55,-4,0.067797,ok
4_rif,58,48,-10,0.172414,ok
5_templateit,222,171,-51,0.229730,ok
6_jnfe,197,135,-62,0.314721,ok
7_sfmis,273,256,-17,0.062271,ok
8_gfarcegestionfa,225,162,-63,0.280000,ok
9_falselight,8,10,2,-0.250000,ok
10_water-simulator,310,228,-82,0.264516,ok
11_imsmart,28,36,8,-0.285714,ok
12_dsachat,223,199,-24,0.107623,ok
13_jdbacl,1574,1375,-199,0.126429,ok
14_omjstate,61,40,-21,0.344262,ok
15_beanbin,134,111,-23,0.171642,ok
16_templatedetails,19,25,6,-0.315789,ok
17_inspirento,267,227,-40,0.149813,ok
18_jsecurity,1663,1490,-173,0.104029,ok
19_jmca,769,616,-153,0.198960,ok
20_nekomud,21,17,-4,0.190476,ok
21_geo-google,1962,1893,-69,0.035168,ok
22_byuic,486,452,-34,0.069959,ok
23_jwbf,33,23,-10,0.303030,ok
24_saxpath,184,129,-55,0.298913,ok
25_jni-inchi,316,292,-24,0.075949,ok
26_jipa,27,8,-19,0.703704,ok
27_gangup,707,643,-64,0.090523,ok
28_greencow,1,2,1,-1.000000,ok
29_apbsmem,582,488,-94,0.161512,ok
30_bpmail,225,208,-17,0.075556,ok
31_xisemele,255,196,-59,0.231373,ok
32_httpanalyzer,45,38,-7,0.155556,ok
33_javaviewcontrol,251,238,-13,0.051793,ok
34_sbmlreader2,18,14,-4,0.222222,ok
35_corina,2105,1938,-167,0.079335,ok
36_schemaspy,702,654,-48,0.068376,ok
37_petsoar,462,415,-47,0.101732,ok
38_javabullboard,363,338,-25,0.068871,ok
39_diffi,72,74,2,-0.027778,ok
40_glengineer,392,349,-43,0.109694,ok
41_follow,309,261,-48,0.155340,ok
42_asphodel,98,93,-5,0.051020,ok
45_lotus,71,55,-16,0.225352,ok
46_nutzenportfolio,1161,1082,-79,0.068045,ok
47_dvd-homevideo,24,10,-14,0.583333,ok
48_resources4j,40,30,-10,0.250000,ok
49_diebierse,252,213,-39,0.154762,ok
50_biff,35,27,-8,0.228571,ok
51_jiprof,1739,1369,-370,0.212766,ok
52_lagoon,736,589,-147,0.199728,ok
53_shp2kml,13,6,-7,0.538462,ok
54_db-everywhere,1557,1481,-76,0.048812,ok
55_lavalamp,235,208,-27,0.114894,ok
56_jhandballmoves,984,853,-131,0.133130,ok
57_hft-bomberman,864,629,-235,0.271991,ok
58_fps370,70,51,-19,0.271429,ok
59_mygrid,621,537,-84,0.135266,ok
60_sugar,330,295,-35,0.106061,ok
61_noen,2358,1851,-507,0.215013,ok
63_objectexplorer,520,473,-47,0.090385,ok
65_gsftp,101,96,-5,0.049505,ok
67_gae-app-manager,51,46,-5,0.098039,ok
68_biblestudy,374,316,-58,0.155080,ok
69_lhamacaw,1561,1422,-139,0.089045,ok
70_echodep,321,241,-80,0.249221,ok
71_ext4j,292,240,-52,0.178082,ok
72_battlecry,181,149,-32,0.176796,ok
73_fim1,434,385,-49,0.112903,ok
74_fixsuite,260,267,7,-0.026923,ok
75_openhre,1381,1212,-169,0.122375,ok
76_dash-framework,20,18,-2,0.100000,ok
77_io-project,89,58,-31,0.348315,ok
79_twfbplayer,850,718,-132,0.155294,ok
81_javathena,1731,1632,-99,0.057192,ok
82_ipcalculator,17,13,-4,0.235294,ok
83_xbus,861,797,-64,0.074332,ok
85_shop,459,307,-152,0.331155,ok
86_at-robots2-j,1336,1040,-296,0.221557,ok
87_jaw-br,196,160,-36,0.183673,ok
88_jopenchart,527,480,-47,0.089184,ok
89_jiggler,1857,1250,-607,0.326871,ok
90_dcparseargs,64,43,-21,0.328125,ok
91_classviewer,122,96,-26,0.213115,ok
92_jcvi-javacommon,3767,3386,-381,0.101141,ok
93_quickserver,2093,1734,-359,0.171524,ok
94_jclo,19,19,0,0.000000,ok
95_celwars2009,78,71,-7,0.089744,ok
96_heal,2734,2227,-507,0.185443,ok
97_feudalismgame,341,300,-41,0.120235,ok
98_trans-locator,36,29,-7,0.194444,ok
99_newzgrabber,339,279,-60,0.176991,ok
100_jgaap,97,53,-44,0.453608,ok
101_netweaver,3992,3337,-655,0.164078,ok
106_checkstyle,851,734,-117,0.137485,ok
